idx,class,conversation
3950,일반 대화,"['나온', '롤', '스킨', '봤냐', '미쳤던데', '카타리나', '스킨', '개간', '지', '씨발', '돈', '없어서', '못', '사겠네', '파산핑', '이냐', '나도', '고민', '중', '지를까', '내', '통장', '잔고', '날', '막는다']"
3951,일반 대화,"['주', '주말', '바다', '보러', '갈래', '개', '좋지', '동해', '부산', '쪽', '요즘', '핫', '한', '곳', '많더라', '헐', '가서', '회도', '먹자', '장어', '도', '내', '숙소', '찾아볼게']"
3952,일반 대화,"['강남', '새로', '생긴', '디저트', '카페', '가봤어', '아직', '거기', '뭐', '그렇게', '핫함', '빵', '퀄리티', '장난', '아님', '그냥', '입', '녹음', '가야겠는데', '주말', '갈래', '인스타', '용']"
3953,일반 대화,"['어제', '헬스장', '데드리프트', '쳤다', '미쳤네', '갑자기', '그렇게', '들어', '몰라', '그냥', '올라가길래', '함', '나도', '이제', '제대로', '해야겠다', '주', '가자', '루틴', '맞춰서']"
3954,일반 대화,"['요즘', '골프', '배우는데', '개', '어려움', '헐', '골프', '도', '해', '근데', '아이언', '제대로', '못', '맞추겠음', '폼', '교정', '해야겠네', '담주에', '필드', '한', '번', '가볼래', '연습', '도', '할', '겸']"
3955,일반 대화,"['나이키', '신상', '조던', '나왔던데', '봤냐', '아직', '이쁘냐', '개', '이쁨', '근데', '선착순', '이라', '벌써', '품절', '됐어', '씨발', '나도', '사고', '싶었는데', '놓쳤네', '리셀', '배', '찍었더라', '진짜', '미쳤음']"
3956,일반 대화,"['오늘', '점심', '뭐', '먹지', '떡볶이', '국밥', '씨발', '국밥', '이지', '든든하게', '가야', '지', '국밥', '충', '등장', '국밥', '은', '국룰', '이라고', '했잖아', '오케이', '국밥', '한', '그릇', '하러', '가자']"
3957,일반 대화,"['여름', '캠핑', '갈래', '개', '좋지', '강원도', '쪽', '가자', '계곡', '도', '있고', '뷰', '지림', '근데', '차', '없는데', '어케', '가냐', '렌트', '거나', '기차', '타고', '가면', '되지', '가자']"
3958,일반 대화,"['라면', '신상', '나온', '거', '봤냐', '핵', '매운', '맛', '이라', '던데', '헐', '어디서', 'CU', '있던데', '배', '맵다', '그랬음', '맵', '찔이', '울겠네', '나도', '오늘', '저녁', '도전', '해볼게']"
3959,일반 대화,"['애플', '신제품', '발표', '했다는데', '나도', '봤음', '근데', '디자인', '똑같음', '씨발', '가격', '만', '오르고', '바뀐', '건', '없냐', '살', '사람', '다', '나도', '바꿀까', '고민', '중', '지를까', '말까']"
3960,일반 대화,"['요즘', '사람', '다', '전동', '킥', '보드', '타더라', '그러게', '나도', '출퇴근', '살까', '고민', '중', '헐', '개편', '하겠다', '근데', '요즘', '단속', '심해져서', '조심해야', '함', '오케이', '더', '찾아보고', '사야겠네']"
3961,일반 대화,"['월드컵', '경기', '봤냐', '개', '쩔었지', '마지막', '역전', '골', '미쳤음', '진짜', '심장', '터지는', '줄', '난', '소리', '지르면서', '봄', '나도', '우리나라', '경기', '다시', '보기', '해야겠네', '경기', '보자', '술집']"
3962,일반 대화,"['콘서트', '티켓팅', '성공함', '개', '씨발', '광탈', '했음', '나도', '실패', '개', '빡침', '중고나라', '보면', '리셀', '미쳤더라', '팬클럽', '선', '예매', '잡아야', '하는데']"
3963,일반 대화,"['마라', '탕', 'kg', '챌', '린지', '생긴', '거', '봤냐', '어디서', '함', '홍대', '하는데', '분', '안', '먹으면', '무료', '래', '헐', '도전', '해볼까', '마라', '탕', '개잘', '먹는데', '못', '먹고', '중간', 'GG', '듯']"
3964,일반 대화,"['주말', '한강', '갈래', '날씨', '좋던데', '개', '좋지', '라면', '먹고', '치맥', '하자', '텐트', '챙겨', '와라', '그거', '없는', '뎅', '챙겨라', '아오', '맨날', '만', '준비', '함', '엔', '챙겨']"
3965,일반 대화,"['요즘', '뭐', '그렇게', '웃기냐', '그냥', '틱톡', '보다', '개', '웃긴', '거', '봄', '헐', '공유', '해봐라', '보내줄게', '도', '보면', '뿜', '듯', '개꿀', '잼이면', '나도', '저장', '한', '다']"
3966,일반 대화,"['요즘', '뭐', '듣냐', '뉴진스', '신곡', '개', '좋던데', '나도', '그거', '하루', '종일', '들음', '도', '입덕', '했냐', '인정', '노래', '레전드']"
3967,일반 대화,"['보드', '게임방', '가볼래', '뭔', '게임', '있음', '카드게임', '도', '있고', '마피아', '같은', '도', '있음', '헐', '개꿀잼일', '듯', '가보자', '맞춰서', '가자']"
3968,일반 대화,"['오늘', '뭐', '입고', '나감', '그냥', '후드', '티', '조거', '팬츠', '개편', '하겠네', '근데', '너무', '편한', '거', '아냐', '씨발', '추운데', '뭘', '입어', '그냥', '따뜻하게', '입고']"
3969,일반 대화,"['다음주', '벚꽃놀이', '가자', '헐', '개', '좋다', '갈래', '석촌호수', '거기', '개', '이쁘대', '사진', '도', '왕창', '찍자', '카메라', '챙겨', '갈게']"
3970,일반 대화,"['요즘', '피', '씨방', '뭐', '맛있냐', '난', '피시방', '짜파게티', '국룰', '이지', '나도', '그거', '좋아함', '거기', '치즈', '토핑', '추가', '하면', '개꿀', '헐', '치즈', '추가', '가능하냐', '몰랐네', '담', '가면', '꼭', '해봐라']"
3971,일반 대화,"['동물', '숲', '업데이트', '봤어', '아직', '못', '봤는데', '뭐', '바뀜', '가구', '개', '많이', '추가', '되고', '새로운', '주민', '도', '생겼음', '개', '쩐다', '빠질', '듯', '맨날', '게임', '만', '하냐']"
3972,일반 대화,"['BTS', '컴백', '한다던데', '헐', '진짜', '아직', '정확한', '날짜', '안', '나왔는데', '나온대', '기대', '된다', '난리', '나겠네', '티켓팅', '전쟁', '예상', '함']"
3973,일반 대화,"['요즘', '필라테스', '한다며', '개', '힘듦', '처음', '엔', '온몸', '쑤셨음', '효과', '있냐', '확실히', '자세', '교정', '되는', '느낌', '임', '나도', '해볼까', '고민', '중']"
3974,일반 대화,"['주말', '롯데', '월드', '갈래', '헐', '개', '좋지', '근데', '사람', '많지', '않을까', '그럴', '수도', '근데', '밤', '타임', '노려보면', '덜할', '듯', '밤', '가서', '바이킹', '타자', '개꿀잼', '예상', '된다', '신나네']"
3975,일반 대화,"['요즘', '집', '뭐', '하냐', '그냥', '유튜브', '보면서', '누워', '있음', '생산', '적', '인', '거', '해', '라', '몰라', '쉬는', '도', '중요한', '거임', '오케이', '인정', '한다']"
3976,일반 대화,"['요즘', '커피', '뭐', '마시냐', '난', '바닐라', '라떼', '고정', '이지', '나도', '바닐라', '라떼', '만', '먹음', '역시', '입맛', '비슷하네', '담', '카페', '가서', '신', '메뉴', '도', '도전', '해보자']"
3977,일반 대화,"['키링', '뭐', '샀어', '포켓몬', '피카츄', '샀음', '개', '귀여', '움', '나도', '피카츄', '키링', '갖고', '싶다', '한정판', '나왔대', '미쳤다', '내일', '사러', '가야겠다']"
3978,일반 대화,"['넌', '스트레스', '받을', '뭐', '하냐', '난', '무조건', '운동', '함', '땀', '빼야', '풀림', '난', '맛있는', '거', '먹어야', '풀리는데', '그것', '도', '방법', '이네', '뭐', '됐든', '풀', '면', '됨', '맞지', '스타일', '대로', '가는', '거지']"
